unique,player,nation,pos,squad,born,mp,starts,min,gls,ast,pk,pkatt,crdy,crdr,gls_per_90,ast_per_90,g_plus_a_per_90,g_minus_pk_per_90,year,league
Loïck LandreParis S-G2010,Loïck Landre,fr FRA,DF,Paris S-G,1992,1,0,59,0,0,0,0,0,0,0,0,0,0,2010,French
Ludovic GiulyParis S-G2010,Ludovic Giuly,fr FRA,"FW,MF",Paris S-G,1976,35,30,2329,4,8,0,0,4,0,0.15,0.31,0.46,0.15,2010,French
Mamadou SakhoParis S-G2010,Mamadou Sakho,fr FRA,DF,Paris S-G,1990,35,35,3034,4,0,0,0,5,1,0.12,0,0.12,0.12,2010,French
Mateja KežmanParis S-G2010,Mateja Kežman,rs SRB,FW,Paris S-G,1979,1,0,18,0,0,0,0,0,0,0,0,0,0,2010,French
Mathieu BodmerParis S-G2010,Mathieu Bodmer,fr FRA,"DF,MF",Paris S-G,1982,28,21,1751,5,3,1,1,3,0,0.26,0.15,0.41,0.21,2010,French
Mevlüt ErdinçParis S-G2010,Mevlüt Erdinç,tr TUR,FW,Paris S-G,1987,34,29,2325,8,1,0,0,2,0,0.31,0.04,0.35,0.31,2010,French
Neeskens KebanoParis S-G2010,Neeskens Kebano,cd COD,MF,Paris S-G,1992,3,1,77,0,0,0,0,0,0,0,0,0,0,2010,French
NenêParis S-G2010,Nenê,br BRA,"FW,MF",Paris S-G,1981,35,35,3078,14,9,1,1,3,0,0.41,0.26,0.67,0.38,2010,French
Péguy LuyindulaParis S-G2010,Péguy Luyindula,fr FRA,"FW,MF",Paris S-G,1979,23,4,635,0,1,0,0,0,0,0,0.14,0.14,0,2010,French
Stéphane SessègnonParis S-G2010,Stéphane Sessègnon,bj BEN,"FW,MF",Paris S-G,1984,14,4,567,0,2,0,0,0,0,0,0.32,0.32,0,2010,French
Sylvain ArmandParis S-G2010,Sylvain Armand,fr FRA,DF,Paris S-G,1980,33,31,2803,2,1,0,0,5,0,0.06,0.03,0.1,0.06,2010,French
Tripy MakondaParis S-G2010,Tripy Makonda,fr FRA,DF,Paris S-G,1990,4,1,122,0,0,0,0,1,0,0,0,0,0,2010,French
Zoumana CamaraParis S-G2010,Zoumana Camara,fr FRA,"DF,GK",Paris S-G,1979,17,14,1379,2,1,0,0,1,0,0.13,0.07,0.2,0.13,2010,French
