Season,Rank,Team,Revenue
2013-2014,1,Real Madrid,549.5
2013-2014,2,Manchester United,518
2013-2014,3,Bayern Munich,487.5
2013-2014,4,FC Barcelona,484.8
2013-2014,5,Paris Saint-Germain,471.3
2013-2014,6,Manchester City,416.5
2013-2014,7,Chelsea,387.9
2013-2014,8,Arsenal,359.3
2013-2014,9,Liverpool,305.9
2013-2014,10,Juventus,279
2013-2014,11,Borussia Dortmund,261.5
2013-2014,12,AC Milan,249.7
2013-2014,13,Tottenham Hotspur,215.5
2013-2014,14,Schalke 04,214
2013-2014,15,Atlético de Madrid,169.9
2013-2014,16,Napoli,164.8
2013-2014,17,Internazionale,162.8
2013-2014,18,Galatasaray,161.9
2013-2014,19,Newcastle United,155.1
2013-2014,20,Everton,144.1
