Season,Rank,Team,Revenue
2011-2012,1,Real Madrid,512.6
2011-2012,2,FC Barcelona,483
2011-2012,3,Manchester United,395.9
2011-2012,4,Bayern Munich,368.4
2011-2012,5,Chelsea,322.6
2011-2012,6,Arsenal,290.3
2011-2012,7,Manchester City,285.6
2011-2012,8,AC Milan,256.9
2011-2012,9,Liverpool,233.2
2011-2012,10,Juventus,195.4
2011-2012,11,Borussia Dortmund,189.1
2011-2012,12,Internazionale,185.9
2011-2012,13,Tottenham Hotspur,178.2
2011-2012,14,Schalke 04,174.5
2011-2012,15,Napoli,148.4
2011-2012,16,Olympique de Marseille,135.7
2011-2012,17,Olympique Lyonnais,131.9
2011-2012,18,Hamburger SV,121.1
2011-2012,19,AS Roma,115.9
2011-2012,20,Newcastle United,115.3
