Season,Rank,Team,Revenue
2015-2016,1,Manchester United,689
2015-2016,2,FC Barcelona,620.2
2015-2016,3,Real Madrid,620.1
2015-2016,4,Bayern Munich,592
2015-2016,5,Manchester City,524.9
2015-2016,6,Paris Saint-Germain,520.9
2015-2016,7,Arsenal,468.5
2015-2016,8,Chelsea,447.4
2015-2016,9,Liverpool,403.8
2015-2016,10,Juventus,338.9
2015-2016,11,Borussia Dortmund,283.9
2015-2016,12,Tottenham Hotspur,279.7
2015-2016,13,Atlético de Madrid,228.6
2015-2016,14,Schalke 04,224.5
2015-2016,15,AS Roma,218.2
2015-2016,16,AC Milan,214.6
2015-2016,17,FC Zenit Saint Petersburg,196.5
2015-2016,18,West Ham United,192.3
2015-2016,19,Internazionale,179.2
2015-2016,20,Leicester City,172.1
