Season,Rank,Team,Revenue
2018-2019,1,FC Barcelona,840.8
2018-2019,2,Real Madrid,757.3
2018-2019,3,Manchester United,711.5
2018-2019,4,Bayern Munich,660.1
2018-2019,5,Paris Saint-Germain,635.9
2018-2019,6,Manchester City,610.6
2018-2019,7,Liverpool,604.7
2018-2019,8,Tottenham Hotspur,521.1
2018-2019,9,Chelsea,513.1
2018-2019,10,Juventus,459.7
2018-2019,11,Arsenal,445.6
2018-2019,12,Borussia Dortmund,377.1
2018-2019,13,Atlético de Madrid,367.6
2018-2019,14,FC Internazionale Milano,364.6
2018-2019,15,Schalke 04,324.8
2018-2019,16,AS Roma,231
2018-2019,17,Olympique Lyonnais,220.8
2018-2019,18,West Ham United,216.4
2018-2019,19,Everton,213
2018-2019,20,SSC Napoli,207.4
