Season,Rank,Team,Revenue
2014-2015,1,Real Madrid,577
2014-2015,2,FC Barcelona,560.8
2014-2015,3,Manchester United,519.5
2014-2015,4,Paris Saint-Germain,480.8
2014-2015,5,Bayern Munich,474
2014-2015,6,Manchester City,463.5
2014-2015,7,Arsenal,435.5
2014-2015,8,Chelsea,420
2014-2015,9,Liverpool,391.8
2014-2015,10,Juventus,323.9
2014-2015,11,Borussia Dortmund,280.6
2014-2015,12,Tottenham Hotspur,257.5
2014-2015,13,Schalke 04,219.7
2014-2015,14,AC Milan,199.1
2014-2015,15,AS Roma,179.1
2014-2015,16,Atlético de Madrid,176.6
2014-2015,17,Newcastle United,169.3
2014-2015,18,FC Zenit Saint Petersburg,167.8
2014-2015,19,Everton,165.1
2014-2015,20,Internazionale,164.8
