league_id,name,type,country,country_code,season,season_start,season_end,logo,flag,standings,is_current,coverage_standings,coverage_fixtures_events,coverage_fixtures_lineups,coverage_fixtures_statistics,coverage_fixtures_players_statistics,coverage_players,coverage_topscorers,coverage_predictions,coverage_odds
1370,Super League,League,Uzbekistan,UZ,2020,2020-02-27,2020-11-05,https://media.api-sports.io/football/leagues/369.png,https://media.api-sports.io/flags/uz.svg,1,1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
1371,Copa Colombia,Cup,Colombia,CO,2020,2020-02-19,2020-11-18,https://media.api-sports.io/football/leagues/241.png,https://media.api-sports.io/flags/co.svg,1,1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
1372,Thai League 2,League,Thailand,TH,2020,2020-02-14,2020-10-25,https://media.api-sports.io/football/leagues/297.png,https://media.api-sports.io/flags/th.svg,1,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
1409,World Cup - U20,Cup,World,,2017,2017-05-20,2017-06-11,https://media.api-sports.io/football/leagues/490.png,,0,0,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
1373,Thai Premier League,League,Thailand,TH,2020,2020-02-14,2020-10-25,https://media.api-sports.io/football/leagues/296.png,https://media.api-sports.io/flags/th.svg,1,1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
1374,Primera Division - Clausura,League,Uruguay,UY,2020,2020-08-30,2020-12-06,https://media.api-sports.io/football/leagues/270.png,https://media.api-sports.io/flags/uy.svg,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
1375,Primera Division - Apertura,League,Uruguay,UY,2020,2020-02-15,2020-10-14,https://media.api-sports.io/football/leagues/268.png,https://media.api-sports.io/flags/uy.svg,1,1,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
1376,Segunda Division,League,Venezuela,VE,2020,2020-02-22,2020-05-17,https://media.api-sports.io/football/leagues/300.png,https://media.api-sports.io/flags/ve.svg,1,1,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
1377,Ykkonen,League,Finland,FI,2020,2020-06-27,2020-10-31,https://media.api-sports.io/football/leagues/245.png,https://media.api-sports.io/flags/fi.svg,1,1,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
1378,Western Australia NPL,League,Australia,AU,2020,2020-03-14,2020-10-11,https://media.api-sports.io/football/leagues/196.png,https://media.api-sports.io/flags/au.svg,1,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
