Year,Paris Saint-Germain
2013-12-31,0.0
2014-12-31,3.16793893129771
2015-12-31,4.83969465648855
2016-12-31,6.213740458015268
2017-12-31,6.419847328244276
2018-12-31,7.412213740458016
2019-12-31,8.320610687022901
